State,HPAI_outbreaks,HPAI_outbreaks_map0,HPAI_status,Rabies_outbreaks,Rabies_outbreaks_map0,Rabies_status,Trypanosomosis_outbreaks,Trypanosomosis_outbreaks_map0,Trypanosomosis_status,Total_reported_outbreaks,N_diseases_with_reported_outbreaks,Missing_value_treatment
Abia,5,5,Reported outbreaks present,1,1,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),6,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Adamawa,11,11,Reported outbreaks present,6,6,Reported outbreaks present,5,5,Reported outbreaks present,22,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Akwa Ibom,1,1,Reported outbreaks present,15,15,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),16,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Anambra,11,11,Reported outbreaks present,2,2,Reported outbreaks present,4,4,Reported outbreaks present,17,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Bauchi,60,60,Reported outbreaks present,116,116,Reported outbreaks present,5,5,Reported outbreaks present,181,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Bayelsa,10,10,Reported outbreaks present,6,6,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),16,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Benue,2,2,Reported outbreaks present,23,23,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),25,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Borno,8,8,Reported outbreaks present,3,3,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),11,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Cross River,,0,No reported outbreaks in extracted dataset (not an observed zero),19,19,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),19,1,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Delta,42,42,Reported outbreaks present,12,12,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),54,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Ebonyi,3,3,Reported outbreaks present,12,12,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),15,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Edo,25,25,Reported outbreaks present,2,2,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),27,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Ekiti,2,2,Reported outbreaks present,11,11,Reported outbreaks present,,0,No reported outbreaks in extracted dataset (not an observed zero),13,2,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Enugu,9,9,Reported outbreaks present,1,1,Reported outbreaks present,7,7,Reported outbreaks present,17,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
Federal Capital Territory,31,31,Reported outbreaks present,11,11,Reported outbreaks present,10,10,Reported outbreaks present,52,3,Blank in *_outbreaks means no WAHIS observation; the *_map0 column 0-fills it for join convenience only and must not be read as zero burden
